CVE_ZM,ZM,CVE_MUN,MUN,POB,MC,CF,DIST_CC,PRM_TMUN,PRM_TMUNC,PRM_TOTROMUN,PEM_RMUN,PEM_TMUNC,PEM_ROTROMUN,PACNA,PACNPRIM,DMU,DZC-ZM,PZC-ZM,PNDUyOT,TIPO_MUN,AÑO
34,Zona metropolitana de Puebla-Tlaxcala,21074,Huejotzingo,63457,0,0,3,90.8,5.4,3.8,83,6.3,10.7,*,80.5,43.1,1,1,0,3,2010
34,Zona metropolitana de Puebla-Tlaxcala,21090,Juan C. Bonilla,18540,1,1,0,73.1,21.8,5.1,90.1,4.3,5.6,*,79.8,21.9,1,1,1,1,2010
34,Zona metropolitana de Puebla-Tlaxcala,21106,Ocoyucan,25720,1,1,0,76.7,19.5,3.8,96.1,2.5,1.4,*,59,19,0,0,0,1,2010
34,Zona metropolitana de Puebla-Tlaxcala,21114,Puebla,1539819,1,1,0,95.9,1.8,2.3,86.9,7.6,5.4,*,98.9,102.9,0,1,1,1,2010
34,Zona metropolitana de Puebla-Tlaxcala,21119,Cholula,100439,1,1,0,71.6,25.8,2.5,84.1,14,1.9,*,87.1,41.3,1,1,1,1,2010
34,Zona metropolitana de Puebla-Tlaxcala,21122,San Felipe Teotlalcingo,9426,0,0,21.3,82.7,1.4,15.8,94.4,2,3.6,*,46.9,20.3,0,1,0,3,2010
34,Zona metropolitana de Puebla-Tlaxcala,21125,San Gregorio Atzompa,8170,1,1,0,83.6,13.9,2.6,64.4,29.9,5.7,*,71.9,15.5,0,0,0,1,2010
34,Zona metropolitana de Puebla-Tlaxcala,21132,San Martín Texmelucan,141112,0,0,15.8,90.8,3.2,6,84,4.4,11.6,*,88.8,54.2,1,1,0,3,2010
34,Zona metropolitana de Puebla-Tlaxcala,21136,San Miguel Xoxtla,11598,1,1,0,80.4,15.5,4.1,75,18.8,6.3,*,97,44.8,1,1,1,1,2010
34,Zona metropolitana de Puebla-Tlaxcala,21140,Cholula,120459,1,1,0,74.1,22.5,3.5,77.7,17.6,4.7,*,92.6,41.2,1,1,1,1,2010
34,Zona metropolitana de Puebla-Tlaxcala,21143,San Salvador el Verde,28419,0,0,24.6,74.7,1.4,23.9,94.3,0.2,5.5,*,56.3,23.4,0,1,0,3,2010
35,Zona metropolitana de Tehuacán,21149,Santiago Miahuatlán,21993,1,1,0,69.9,27.1,3,92.7,4.3,3.1,*,87.8,28.2,0,0,0,1,2010
35,Zona metropolitana de Tehuacán,21156,Tehuacán,274906,1,1,0,95.6,0.2,4.2,89.9,1.8,8.4,*,94.6,76.1,0,0,0,1,2010
34,Zona metropolitana de Puebla-Tlaxcala,21163,Tepatlaxco,16275,0,0,5.7,55.6,30.7,13.7,88,3.9,8.2,*,83.9,42.6,0,0,0,2,2010
59,Zona metropolitana de Teziutlán,21174,Teziutlán,92246,1,1,0,94.6,0.5,4.8,82.2,6.9,10.9,*,94.2,53,0,0,0,1,2010
34,Zona metropolitana de Puebla-Tlaxcala,21181,Tlaltenango,6269,0,0,3.8,80.9,15,4.1,94.8,3.2,2,*,59.5,19,1,1,0,3,2010
36,Zona metropolitana de Querétaro,22006,Corregidora,143073,1,1,0,56.9,38.4,4.7,90,8,1.9,*,98.2,78.1,1,1,1,1,2010
36,Zona metropolitana de Querétaro,22008,Huimilpan,35554,0,0,12.6,87,11.7,1.3,94.4,3.9,1.7,*,76.4,27.4,1,1,0,3,2010
36,Zona metropolitana de Querétaro,22011,El Marqués,116458,1,1,0,77.1,20.5,2.4,66.9,9.8,23.3,*,87.2,58.4,1,1,1,1,2010
36,Zona metropolitana de Querétaro,22014,Querétaro,801940,1,1,0,96.2,1.8,2.1,83.8,7.5,8.7,*,98.3,105.4,1,1,1,1,2010
37,Zona metropolitana de Cancún,23003,Isla Mujeres,16203,0,0,8.9,93.6,5.9,0.5,81,17.4,1.6,*,85.9,56.3,1,0,1,3,2010
37,Zona metropolitana de Cancún,23005,Benito Juárez,661176,1,0,0,96.5,0.5,3.1,95.9,0.1,4,*,99.1,104.3,1,0,1,1,2010
39,Zona metropolitana de Rioverde-Ciudad Fernández,24011,Ciudad Fernández,43528,1,1,0,70.5,27.2,2.3,92.5,6.9,0.6,*,71,22.6,1,1,1,1,2010
39,Zona metropolitana de Rioverde-Ciudad Fernández,24024,Rioverde,91924,1,1,0,95.3,2.5,2.2,84.3,11.5,4.2,*,70.5,33.2,1,1,1,1,2010
38,Zona metropolitana de San Luis Potosí - Soledad de Graciano Sánchez,24028,San Luis Potosí,772604,1,1,0,96.3,1.2,2.5,84.5,9.4,6.1,*,98.7,103.5,1,1,1,1,2010
38,Zona metropolitana de San Luis Potosí - Soledad de Graciano Sánchez,24035,Soledad de Graciano Sánchez,267839,1,1,0,64.1,32.7,3.2,93.8,5.5,0.7,*,97.9,112.8,1,1,1,1,2010
40,Zona metropolitana de Guaymas,26025,Empalme,54131,0,0,3.4,87.7,9.8,2.5,89.2,8.9,1.9,*,80.9,42.5,1,1,1,3,2010
40,Zona metropolitana de Guaymas,26029,Guaymas,149299,1,0,0,94.3,0,5.7,94.1,0,5.9,*,88,55.5,1,1,1,1,2010
41,Zona metropolitana de Villahermosa,27004,Centro,640359,1,1,0,95,0.4,4.6,84.7,6.1,9.1,*,97.1,82.8,1,0,0,1,2010
41,Zona metropolitana de Villahermosa,27013,Nacajuca,115066,1,1,0,50.8,42.9,6.2,91.3,4.7,4.1,*,89.8,107.9,1,0,0,1,2010
42,Zona metropolitana de Tampico,28003,Altamira,212001,1,1,0,75.4,21.4,3.2,78.9,20,1.1,*,93.9,75.4,1,1,1,1,2010
42,Zona metropolitana de Tampico,28009,Ciudad Madero,197216,1,1,0,70.6,25.1,4.3,80.8,18.7,0.4,*,99.5,82.1,1,1,1,1,2010
44,Zona metropolitana de Matamoros,28022,Matamoros,489193,1,0,0,99.3,0,0.7,98.2,0,1.8,*,95.2,69.9,n.a.,1,1,1,2010
45,Zona metropolitana de Nuevo Laredo,28027,Nuevo Laredo,384033,1,0,0,99.5,0,0.5,98.8,0,1.2,*,99.3,70.9,n.a.,1,1,1,2010
43,Zona metropolitana de Reynosa-Río Bravo,28032,Reynosa,608891,1,0,0,98.9,0,1.1,95,0,5,*,97.8,73.3,1,1,1,1,2010
43,Zona metropolitana de Reynosa-Río Bravo,28033,Río Bravo,118259,0,0,6.7,79,20,1,96.2,1.3,2.5,*,89.2,55.5,1,1,1,2,2010
42,Zona metropolitana de Tampico,28038,Tampico,297554,1,1,0,82.2,14.2,3.6,73.6,24.3,2.1,*,98,95.6,1,1,1,1,2010
46,Zona metropolitana de Tlaxcala-Apizaco,29001,Amaxac,9875,1,1,0,46.4,44.3,9.3,78.2,20.3,1.5,*,89.9,17.1,0,0,0,1,2010
46,Zona metropolitana de Tlaxcala-Apizaco,29002,Apetatitlán,13361,1,1,0,45.3,42.7,12,48.2,48.4,3.4,*,96.5,26.3,1,1,1,1,2010
46,Zona metropolitana de Tlaxcala-Apizaco,29005,Apizaco,76492,1,1,0,76.7,14.4,8.9,55,31.2,13.8,*,95.3,56.8,1,1,1,1,2010
